
code	|	name	|	preferred name	|	lineage
2	|	Scarlet macaw	|	Ara macao	|	176014 9225 9224 9223 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	flier cichlid	|	Archocentrus centrarchus	|	63155 61816 318529 318559 319056 8113 1489911 1489910 1489908 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	brown argus	|	Aricia agestis	|	91739 91737 42297 27544 37572 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	African grass rat	|	Arvicanthis niloticus	|	61156 61153 39107 10066 337687 1963758 9989 314147 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	pig roundworm	|	Ascaris suum	|	6253 6251 6250 33256 6249 6274 6236 119089 6231 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Aspergillus luchuensis IFO 4308	|	 	|	1033177 1069201 5052 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Aspergillus nidulans FGSC A4	|	 	|	227321 162425 2720870 5052 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Aspergillus niger CBS 513.88	|	 	|	425011 5061 2720871 5052 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
1	|	Aspergillus oryzae RIB40	|	 	|	510516 5062 2720871 5052 1131492 5042 451871 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
2	|	eastern happy	|	Astatotilapia calliptera	|	8154 8152 319058 318546 319095 8113 1489911 1489910 1489908 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	European starfish	|	Asterias rubens	|	7604 7601 7600 7599 41242 7588 7587 133551 7586 33511 33213 6072 33208 33154 2759 131567 
1	|	Atethmia centrago	|	 	|	988071 988070 572922 7100 37570 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	coleseed sawfly	|	Athalia rosae	|	37344 37343 112290 27532 85772 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Atta cephalotes	|	 	|	12957 12956 143999 34695 36668 2153479 7434 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	silver Y moth	|	Autographa gamma	|	254363 254361 95186 7100 37570 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Autographa pulchrina	|	 	|	987893 254361 95186 7100 37570 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Avicennia marina	|	 	|	82927 41377 624272 4185 4143 91888 71274 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
1	|	Avicennia marina subsp. marina	|	 	|	1381980 82927 41377 624272 4185 4143 91888 71274 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
2	|	tufted duck	|	Aythya fuligula	|	219594 30384 2068721 8830 8826 1549675 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Babesia bovis	|	 	|	5865 5864 32594 5863 422676 5794 33630 2698737 2759 131567 
1	|	Babesia bovis T2Bo	|	 	|	484906 5865 5864 32594 5863 422676 5794 33630 2698737 2759 131567 
2	|	Queensland fruit fly	|	Bactrocera tryoni	|	59916 98808 47832 27456 43871 164860 7211 43752 43741 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Balaenoptera acutorostrata scammoni	|	 	|	310752 9767 9766 9765 9761 9721 2653789 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	Blue whale	|	Balaenoptera musculus	|	9771 9766 9765 9761 9721 2653789 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	East African grey crowned-crane	|	Balearica regulorum gibbericeps	|	100784 925459 30413 9109 9108 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Bellardia pandia	|	 	|	2795671 670600 43912 7371 43755 43742 43738 480117 480118 43733 7203 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	six-belted clearwing	|	Bembecia ichneumoniformis	|	301037 300855 301641 106499 106496 104434 104430 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	field beet	|	Beta vulgaris subsp. vulgaris	|	3555 161934 3554 1804621 1804623 3524 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
